0     0.985301      6
1     0.706765      17
2     0.075438      46
3     -0.333371      58
4     -0.436805      137
5     0.214863      1113
6     0.761321      14839
7     0.813400      16428
8     0.197150      2846
9     -0.349144      1036
10     0.099073      2571
11     0.558442      9913
12     0.613456      21037
13     0.596726      23018
14     0.609056      21662
15     0.491087      8977
16     0.323018      5719
17     0.486503      11785
18     0.566904      24632
19     0.554134      24501
20     0.525472      17824
21     0.533335      15773
22     0.433116      13339
23     0.450624      17751
24     0.524139      30843
25     0.534588      35810
26     0.489104      28483
27     0.461209      22779
28     0.469292      23150
29     0.464076      23860
30     0.494585      28964
31     0.508880      34285
32     0.484658      32500
33     0.431492      26882
34     0.404679      24439
35     0.429180      28355
36     0.472913      37624
37     0.487848      44764
38     0.472998      43478
39     0.436374      36895
40     0.398385      32355
41     0.399910      32675
42     0.437572      38947
43     0.465459      44797
44     0.456033      44134
45     0.417101      39513
46     0.386561      36908
47     0.379004      38170
48     0.402683      43744
49     0.429247      51138
50     0.438206      54851
51     0.422602      51652
52     0.388205      45992
53     0.367291      44143
54     0.374331      46005
55     0.396763      50824
56     0.406624      54537
57     0.397681      53371
58     0.372062      49887
59     0.347326      48518
60     0.361123      52176
61     0.374082      58343
62     0.382928      62407
63     0.375376      62292
64     0.365871      58765
65     0.344661      56565
66     0.342513      56604
67     0.347652      59587
68     0.357262      62279
69     0.347720      62663
70     0.335910      61173
71     0.325152      60535
72     0.325709      62255
73     0.331614      65520
74     0.341236      70694
75     0.340340      72149
76     0.324049      69303
77     0.302599      66872
78     0.303517      66748
79     0.312533      69011
80     0.317122      71685
81     0.313675      72873
82     0.302191      71071
83     0.281397      70275
84     0.283586      71221
85     0.290099      74300
86     0.301005      78554
87     0.302826      80903
88     0.293282      80219
89     0.279717      77936
90     0.267752      76418
91     0.267904      77158
92     0.271403      79283
93     0.279773      82134
94     0.275149      82364
95     0.260073      80722
96     0.252230      80578
97     0.252059      82038
98     0.258915      85148
99     0.264037      89044
100     0.268724      89689
101     0.253457      88604
102     0.246796      86881
103     0.239281      86401
104     0.239437      87543
105     0.240988      89129
106     0.244860      91249
107     0.238092      91118
108     0.234875      90518
109     0.227330      91534
110     0.227842      92344
111     0.229562      95295
112     0.235403      98154
113     0.232119      98298
114     0.225654      97051
115     0.214236      95386
116     0.213704      96067
117     0.214229      97318
118     0.219660      99180
119     0.212685      100277
120     0.212436      99540
121     0.207941      99746
122     0.204344      101267
123     0.207778      102638
124     0.212405      105759
125     0.206887      106251
126     0.203851      106219
127     0.198570      104283
128     0.190681      104592
129     0.189642      105823
130     0.196650      106922
131     0.193002      108294
132     0.193094      108785
133     0.189951      108195
134     0.182028      108923
135     0.184012      110025
136     0.186670      113119
137     0.188510      113857
138     0.184943      114957
139     0.183852      113547
140     0.172930      113025
141     0.172276      112860
142     0.172991      114373
143     0.174958      115924
144     0.178231      116655
145     0.175667      117608
146     0.171326      117292
147     0.170692      117418
148     0.170464      119077
149     0.169105      121074
150     0.169219      122444
151     0.172539      122050
152     0.163316      122267
153     0.162731      120599
154     0.156855      121632
155     0.158959      122776
156     0.160059      123419
157     0.165099      126073
158     0.163558      125027
159     0.152532      125495
160     0.154466      126223
161     0.155332      127860
162     0.153279      128863
