280     0.010462      77189
281     0.008425      77461
282     0.008816      77542
283     0.007043      75807
284     0.009058      76841
285     0.009538      77798
286     0.007952      74791
287     0.011765      76580
288     0.012808      76869
289     0.011236      77096
290     0.001924      78099
291     0.011647      72373
292     0.010513      78336
293     0.010040      75577
294     0.009338      75408
295     0.010661      74222
296     0.007541      76597
297     0.006076      75066
298     0.006476      72173
299     0.004397      75887
300     0.010963      75160
301     0.008590      74383
302     0.006857      76414
303     0.008081      72090
304     0.001688      73996
305     0.008945      76175
306     0.008731      72366
307     0.012649      74555
308     0.011502      71626
309     0.008456      75616
310     0.010603      72221
311     0.003348      74032
312     0.012026      71755
313     0.006345      74013
314     0.004107      74171
315     0.006796      71199
316     0.004440      72134
317     0.015404      71717
318     0.011053      71429
319     0.004321      71485
320     0.007091      69521
321     0.009832      71151
322     0.006578      72338
323     0.008784      70515
324     0.003840      69094
325     0.008416      71684
326     0.004466      70260
327     0.011103      71934
328     0.006966      69605
329     0.005382      67804
330     0.012124      69967
331     0.006144      67921
332     0.009203      68222
333     0.008356      72301
334     0.011289      67472
335     0.002992      69826
336     0.006294      66819
337     0.010220      66658
338     0.009779      70407
339     0.007132      68163
340     0.005767      68506
341     0.004362      65648
342     0.004890      66823
343     0.002276      68453
344     0.012000      64974
345     0.004339      68149
346     0.003040      66086
347     0.006420      66950
348     0.006270      65367
349     0.003181      65180
350     0.003251      66641
351     0.007075      67165
352     0.003384      64610
353     0.002416      64912
354     0.008855      63281
355     0.003141      66616
356     0.007980      63920
357     0.002408      65383
358     0.000360      62908
359     0.004331      63348
360     0.005775      65616
361     0.004527      62445
362     0.000458      64373
363     0.003631      63412
364     0.006420      63574
365     -0.000571      62405
366     0.003457      63243
367     0.001016      62549
368     0.002718      62037
369     0.000484      62453
370     0.002422      61737
371     0.002916      60511
372     -0.004762      61925
373     -0.001978      61356
374     -0.001866      61443
375     -0.002716      60338
376     -0.001687      60643
377     0.000778      60860
378     0.002857      59616
379     0.002355      61029
380     -0.002917      57996
381     0.002638      60012
382     -0.008393      58207
383     0.004706      58977
384     0.000388      58626
385     0.001359      59290
386     0.000392      58350
387     -0.000146      57909
388     -0.000068      57820
389     0.000325      58350
390     0.009725      56524
391     0.005763      57709
392     0.006980      57125
393     0.007174      57047
394     0.000787      57798
395     0.006177      56019
396     -0.000502      56881
397     0.007059      54248
398     0.000138      56977
399     0.004389      54969
400     -0.002838      54070
401     0.002229      55935
402     -0.001217      52202
403     0.001650      55039
404     0.006507      53696
405     0.000852      53463
406     -0.002403      55310
407     0.001434      51522
408     -0.003468      53294
409     -0.006410      52187
410     0.001191      51573
411     0.001184      53230
412     0.002666      51641
413     0.004106      51256
414     0.002751      51183
415     0.002354      52959
416     -0.003806      49804
417     -0.000192      49663
418     0.004729      49372
419     -0.003435      50231
420     -0.005624      49883
421     -0.001647      49266
422     -0.005336      50129
423     0.004414      48376
424     -0.001164      48547
425     -0.001852      48180
426     0.006321      47440
427     -0.000021      48667
428     -0.006411      46618
429     0.002179      46828
430     0.001472      46558
431     0.007693      45752
432     0.005168      47565
433     -0.000895      44575
434     0.001937      46172
435     0.001101      44002
436     0.000183      44419
437     0.005270      44508
438     0.002339      43929
439     0.010593      44225
440     0.011577      43339
441     0.002801      43042
442     0.005403      43067
443     0.007095      41555
444     0.005041      42271
445     -0.002588      41391
446     0.003429      40682
447     0.002374      41350
448     -0.000023      38913
449     0.001011      42204
450     0.001906      39006
451     0.007917      38864
452     -0.006392      38580
453     0.003002      38330
454     0.000887      38366
455     0.003031      37861
456     0.000496      38772
457     0.008215      37235
458     -0.003053      36322
459     -0.003971      35947
460     0.011401      35836
461     0.008237      36221
462     -0.006735      34607
463     0.013802      34680
464     -0.000056      33913
465     0.001695      34555
466     0.008646      33673
467     0.000351      32618
468     0.008670      33575
469     0.000136      32631
470     -0.002511      32944
471     -0.001123      32444
472     0.003010      30318
473     0.000123      30943
474     -0.005175      31141
475     0.003459      30770
476     -0.002248      30086
477     0.000420      28329
478     -0.000366      28840
479     0.002274      28695
480     0.001930      28315
481     0.003034      27748
482     0.004256      27400
483     0.005863      26543
484     -0.006010      24770
